Setting datarate of the specified interface to: 1kbps
[32m2023-05-16 22:21:10.167[0m | [1mINFO    [0m | [36mtraffictoll.cli[0m:[36mmain[0m:[36m118[0m - [1mNo global upload rate specified, upload traffic prioritization won't work[0m
[32m2023-05-16 22:21:10.168[0m | [1mINFO    [0m | [36mtraffictoll.cli[0m:[36mmain[0m:[36m146[0m - [1mSetting up global class with max download rate: 1kbps (minimum: 1kbps) and priority: 0[0m
[32m2023-05-16 22:21:10.168[0m | [1mINFO    [0m | [36mtraffictoll.cli[0m:[36mmain[0m:[36m176[0m - [1mSetting up global class with unlimited upload rate (minimum: 10kbps) and priority: 0[0m
PING 192.168.1.107 (192.168.1.107) from 192.168.1.61 wlp4s0: 56(84) bytes of data.
64 bytes from 192.168.1.107: icmp_seq=1 ttl=64 time=18.0 ms
64 bytes from 192.168.1.107: icmp_seq=2 ttl=64 time=6.19 ms
64 bytes from 192.168.1.107: icmp_seq=3 ttl=64 time=12.7 ms
64 bytes from 192.168.1.107: icmp_seq=4 ttl=64 time=1038 ms
64 bytes from 192.168.1.107: icmp_seq=5 ttl=64 time=1502 ms
64 bytes from 192.168.1.107: icmp_seq=6 ttl=64 time=21.5 ms
64 bytes from 192.168.1.107: icmp_seq=7 ttl=64 time=12.0 ms
64 bytes from 192.168.1.107: icmp_seq=8 ttl=64 time=476 ms
64 bytes from 192.168.1.107: icmp_seq=9 ttl=64 time=472 ms
64 bytes from 192.168.1.107: icmp_seq=10 ttl=64 time=461 ms
64 bytes from 192.168.1.107: icmp_seq=11 ttl=64 time=5.89 ms
64 bytes from 192.168.1.107: icmp_seq=12 ttl=64 time=930 ms
64 bytes from 192.168.1.107: icmp_seq=13 ttl=64 time=10.0 ms
64 bytes from 192.168.1.107: icmp_seq=14 ttl=64 time=3.53 ms
64 bytes from 192.168.1.107: icmp_seq=15 ttl=64 time=3.47 ms
64 bytes from 192.168.1.107: icmp_seq=16 ttl=64 time=10.3 ms
64 bytes from 192.168.1.107: icmp_seq=17 ttl=64 time=4.65 ms
64 bytes from 192.168.1.107: icmp_seq=18 ttl=64 time=15.9 ms
64 bytes from 192.168.1.107: icmp_seq=19 ttl=64 time=10.6 ms
64 bytes from 192.168.1.107: icmp_seq=20 ttl=64 time=14.0 ms
64 bytes from 192.168.1.107: icmp_seq=21 ttl=64 time=4.37 ms
64 bytes from 192.168.1.107: icmp_seq=22 ttl=64 time=45.3 ms
64 bytes from 192.168.1.107: icmp_seq=23 ttl=64 time=15.5 ms
64 bytes from 192.168.1.107: icmp_seq=24 ttl=64 time=18.9 ms
64 bytes from 192.168.1.107: icmp_seq=25 ttl=64 time=117 ms
64 bytes from 192.168.1.107: icmp_seq=26 ttl=64 time=45.1 ms
64 bytes from 192.168.1.107: icmp_seq=27 ttl=64 time=6.41 ms
64 bytes from 192.168.1.107: icmp_seq=28 ttl=64 time=11.6 ms
64 bytes from 192.168.1.107: icmp_seq=29 ttl=64 time=6.23 ms
64 bytes from 192.168.1.107: icmp_seq=30 ttl=64 time=3.78 ms
64 bytes from 192.168.1.107: icmp_seq=31 ttl=64 time=3.25 ms
64 bytes from 192.168.1.107: icmp_seq=32 ttl=64 time=7.50 ms
64 bytes from 192.168.1.107: icmp_seq=33 ttl=64 time=14.0 ms
64 bytes from 192.168.1.107: icmp_seq=34 ttl=64 time=10.9 ms
64 bytes from 192.168.1.107: icmp_seq=35 ttl=64 time=7.38 ms
64 bytes from 192.168.1.107: icmp_seq=36 ttl=64 time=2.94 ms
64 bytes from 192.168.1.107: icmp_seq=37 ttl=64 time=3.79 ms
64 bytes from 192.168.1.107: icmp_seq=38 ttl=64 time=8.78 ms
64 bytes from 192.168.1.107: icmp_seq=39 ttl=64 time=3.21 ms
64 bytes from 192.168.1.107: icmp_seq=40 ttl=64 time=3.95 ms
64 bytes from 192.168.1.107: icmp_seq=41 ttl=64 time=13.4 ms
64 bytes from 192.168.1.107: icmp_seq=42 ttl=64 time=6.08 ms
64 bytes from 192.168.1.107: icmp_seq=43 ttl=64 time=37.7 ms
64 bytes from 192.168.1.107: icmp_seq=44 ttl=64 time=3.26 ms
64 bytes from 192.168.1.107: icmp_seq=45 ttl=64 time=4.54 ms
64 bytes from 192.168.1.107: icmp_seq=46 ttl=64 time=5.01 ms
64 bytes from 192.168.1.107: icmp_seq=47 ttl=64 time=21.0 ms
64 bytes from 192.168.1.107: icmp_seq=48 ttl=64 time=3.32 ms
64 bytes from 192.168.1.107: icmp_seq=49 ttl=64 time=4.52 ms
64 bytes from 192.168.1.107: icmp_seq=50 ttl=64 time=3.84 ms
64 bytes from 192.168.1.107: icmp_seq=51 ttl=64 time=3.73 ms
64 bytes from 192.168.1.107: icmp_seq=52 ttl=64 time=3.81 ms
64 bytes from 192.168.1.107: icmp_seq=53 ttl=64 time=6.32 ms
64 bytes from 192.168.1.107: icmp_seq=54 ttl=64 time=74.3 ms
64 bytes from 192.168.1.107: icmp_seq=55 ttl=64 time=60.6 ms
64 bytes from 192.168.1.107: icmp_seq=56 ttl=64 time=120 ms
64 bytes from 192.168.1.107: icmp_seq=57 ttl=64 time=11.0 ms
64 bytes from 192.168.1.107: icmp_seq=58 ttl=64 time=4.81 ms
64 bytes from 192.168.1.107: icmp_seq=59 ttl=64 time=5.73 ms
64 bytes from 192.168.1.107: icmp_seq=60 ttl=64 time=24.6 ms
64 bytes from 192.168.1.107: icmp_seq=61 ttl=64 time=18.1 ms
64 bytes from 192.168.1.107: icmp_seq=62 ttl=64 time=4.64 ms
64 bytes from 192.168.1.107: icmp_seq=63 ttl=64 time=6.07 ms
64 bytes from 192.168.1.107: icmp_seq=64 ttl=64 time=3.31 ms
64 bytes from 192.168.1.107: icmp_seq=65 ttl=64 time=7.77 ms
64 bytes from 192.168.1.107: icmp_seq=66 ttl=64 time=2.94 ms
64 bytes from 192.168.1.107: icmp_seq=67 ttl=64 time=3.16 ms
64 bytes from 192.168.1.107: icmp_seq=68 ttl=64 time=3.24 ms
64 bytes from 192.168.1.107: icmp_seq=69 ttl=64 time=12.1 ms
64 bytes from 192.168.1.107: icmp_seq=70 ttl=64 time=3.90 ms
64 bytes from 192.168.1.107: icmp_seq=71 ttl=64 time=5.06 ms
64 bytes from 192.168.1.107: icmp_seq=72 ttl=64 time=3.21 ms
64 bytes from 192.168.1.107: icmp_seq=73 ttl=64 time=4.12 ms
64 bytes from 192.168.1.107: icmp_seq=74 ttl=64 time=9.11 ms
64 bytes from 192.168.1.107: icmp_seq=75 ttl=64 time=19.6 ms
64 bytes from 192.168.1.107: icmp_seq=76 ttl=64 time=3.29 ms
64 bytes from 192.168.1.107: icmp_seq=77 ttl=64 time=22.0 ms
64 bytes from 192.168.1.107: icmp_seq=78 ttl=64 time=9.80 ms
64 bytes from 192.168.1.107: icmp_seq=79 ttl=64 time=22.8 ms
64 bytes from 192.168.1.107: icmp_seq=80 ttl=64 time=13.2 ms
64 bytes from 192.168.1.107: icmp_seq=81 ttl=64 time=16.4 ms
64 bytes from 192.168.1.107: icmp_seq=82 ttl=64 time=4.51 ms
64 bytes from 192.168.1.107: icmp_seq=83 ttl=64 time=17.7 ms
64 bytes from 192.168.1.107: icmp_seq=84 ttl=64 time=13.2 ms
64 bytes from 192.168.1.107: icmp_seq=85 ttl=64 time=121 ms
64 bytes from 192.168.1.107: icmp_seq=86 ttl=64 time=119 ms
64 bytes from 192.168.1.107: icmp_seq=87 ttl=64 time=13.2 ms
64 bytes from 192.168.1.107: icmp_seq=88 ttl=64 time=19.7 ms
64 bytes from 192.168.1.107: icmp_seq=89 ttl=64 time=27.8 ms
64 bytes from 192.168.1.107: icmp_seq=90 ttl=64 time=20.0 ms
64 bytes from 192.168.1.107: icmp_seq=91 ttl=64 time=13.4 ms
64 bytes from 192.168.1.107: icmp_seq=92 ttl=64 time=16.7 ms
64 bytes from 192.168.1.107: icmp_seq=93 ttl=64 time=12.6 ms
64 bytes from 192.168.1.107: icmp_seq=94 ttl=64 time=23.2 ms
64 bytes from 192.168.1.107: icmp_seq=95 ttl=64 time=5.05 ms
64 bytes from 192.168.1.107: icmp_seq=96 ttl=64 time=12.7 ms
64 bytes from 192.168.1.107: icmp_seq=97 ttl=64 time=18.1 ms
64 bytes from 192.168.1.107: icmp_seq=98 ttl=64 time=10.5 ms
64 bytes from 192.168.1.107: icmp_seq=99 ttl=64 time=11.7 ms
64 bytes from 192.168.1.107: icmp_seq=100 ttl=64 time=6.81 ms
64 bytes from 192.168.1.107: icmp_seq=101 ttl=64 time=75.3 ms
64 bytes from 192.168.1.107: icmp_seq=102 ttl=64 time=32.9 ms
64 bytes from 192.168.1.107: icmp_seq=103 ttl=64 time=19.0 ms
64 bytes from 192.168.1.107: icmp_seq=104 ttl=64 time=5.45 ms
64 bytes from 192.168.1.107: icmp_seq=105 ttl=64 time=7.46 ms
64 bytes from 192.168.1.107: icmp_seq=106 ttl=64 time=3.29 ms
64 bytes from 192.168.1.107: icmp_seq=107 ttl=64 time=3.02 ms
64 bytes from 192.168.1.107: icmp_seq=108 ttl=64 time=9.99 ms
64 bytes from 192.168.1.107: icmp_seq=109 ttl=64 time=8.85 ms
64 bytes from 192.168.1.107: icmp_seq=110 ttl=64 time=5.02 ms
64 bytes from 192.168.1.107: icmp_seq=111 ttl=64 time=17.1 ms
64 bytes from 192.168.1.107: icmp_seq=112 ttl=64 time=7.78 ms
64 bytes from 192.168.1.107: icmp_seq=113 ttl=64 time=2.97 ms
64 bytes from 192.168.1.107: icmp_seq=114 ttl=64 time=10.7 ms
64 bytes from 192.168.1.107: icmp_seq=115 ttl=64 time=12.3 ms
64 bytes from 192.168.1.107: icmp_seq=116 ttl=64 time=3.02 ms
64 bytes from 192.168.1.107: icmp_seq=117 ttl=64 time=9.10 ms
64 bytes from 192.168.1.107: icmp_seq=118 ttl=64 time=5.66 ms
64 bytes from 192.168.1.107: icmp_seq=119 ttl=64 time=6.68 ms
64 bytes from 192.168.1.107: icmp_seq=120 ttl=64 time=16.7 ms
64 bytes from 192.168.1.107: icmp_seq=121 ttl=64 time=3.60 ms
64 bytes from 192.168.1.107: icmp_seq=122 ttl=64 time=5.72 ms
64 bytes from 192.168.1.107: icmp_seq=123 ttl=64 time=6.87 ms
64 bytes from 192.168.1.107: icmp_seq=124 ttl=64 time=3.26 ms
64 bytes from 192.168.1.107: icmp_seq=125 ttl=64 time=3.20 ms
64 bytes from 192.168.1.107: icmp_seq=126 ttl=64 time=7.08 ms
64 bytes from 192.168.1.107: icmp_seq=127 ttl=64 time=14.9 ms
64 bytes from 192.168.1.107: icmp_seq=128 ttl=64 time=4.78 ms
64 bytes from 192.168.1.107: icmp_seq=129 ttl=64 time=4.74 ms
64 bytes from 192.168.1.107: icmp_seq=130 ttl=64 time=10.3 ms
64 bytes from 192.168.1.107: icmp_seq=131 ttl=64 time=7.70 ms
64 bytes from 192.168.1.107: icmp_seq=132 ttl=64 time=3.76 ms
64 bytes from 192.168.1.107: icmp_seq=133 ttl=64 time=5.76 ms
64 bytes from 192.168.1.107: icmp_seq=134 ttl=64 time=6.32 ms
64 bytes from 192.168.1.107: icmp_seq=135 ttl=64 time=10.7 ms
64 bytes from 192.168.1.107: icmp_seq=136 ttl=64 time=3.39 ms
64 bytes from 192.168.1.107: icmp_seq=137 ttl=64 time=4.35 ms
64 bytes from 192.168.1.107: icmp_seq=138 ttl=64 time=12.9 ms
64 bytes from 192.168.1.107: icmp_seq=139 ttl=64 time=3.05 ms
64 bytes from 192.168.1.107: icmp_seq=140 ttl=64 time=6.12 ms
64 bytes from 192.168.1.107: icmp_seq=141 ttl=64 time=15.4 ms
64 bytes from 192.168.1.107: icmp_seq=142 ttl=64 time=3.21 ms
